type,distance_sq,n_measures,distance,normalized_contribution,type_similarity
Component Measure,1.7291961086780283,14,1.3149890146605896,0.21832470020416192,0.4319674925743067
Link Measure,1.1048014822420857,8,1.0510953725719117,0.1394899347651313,0.48754436940008256
Global Network Measure,0.04206785645,7,0.20510450129141486,0.005311399963014889,0.8298035555658281
Triad Census,0.3995279495923614,48,0.6320822332516247,0.050443567031052815,0.6127142245814926
K-Core Decomposition,0.34906972223200006,16,0.5908212269646378,0.04407281630706103,0.628606145712581
S-Core Decomposition,0.37457369054100015,134,0.6120242564972406,0.04729289424219804,0.6203380600319842
Community Structure,0.09090821224300001,21,0.30150988747137303,0.011477881591592716,0.7683383811573196
Degree Measures,0.8650654600573809,8,0.9300889527660142,0.10922136377486452,0.518110835548226
Local Reach,1.08497930476369,3,1.0416233987212893,0.13698722790982099,0.4898062985692271
Local Structure,0.53380376926315,9,0.7306187578095363,0.06739695243781557,0.5778280141061867
Influence,1.3463017978803296,5,1.1603024596545202,0.16998126177328582,0.4628981444384977
