measure,network_1_values,network_2_values,type,weight_1,weight_2,weight
num_nodes,7.898782494756193,9.911852471326279,Component Measure,1.0,1.0,1.0
num_edges,7.99362010880805,9.943381118506087,Component Measure,1.0,1.0,1.0
largest_wcc_proportion,0.76095,0.954879,Component Measure,1.0,1.0,1.0
second_largest_wcc_proportion,0.038604,0.0119,Component Measure,1.0,1.0,1.0
min_wcc_size_proportion,0.000742,9.9e-5,Component Measure,1.0,1.0,1.0
largest_scc_proportion,0.001485,0.00119,Component Measure,1.0,1.0,1.0
second_largest_scc_proportion,0.000742,0.00119,Component Measure,1.0,1.0,1.0
num_isolates_proportion,0.845771,0.731707,Component Measure,1.0,1.0,1.0
num_dyads_proportion,0.064677,0.0,Component Measure,1.0,1.0,1.0
num_triads_proportion,0.029851,0.02439,Component Measure,1.0,1.0,1.0
num_groups_proportion,0.059701,0.243902,Component Measure,1.0,1.0,1.0
bow_tie_scc_fraction,0.0014847809948032665,0.001190003966679889,Component Measure,1.0,1.0,1.0
bow_tie_in_fraction,0.0,0.004462514875049584,Component Measure,1.0,1.0,1.0
bow_tie_out_fraction,0.017074981440237565,0.20458151527171758,Component Measure,1.0,1.0,1.0
all_link_mean,1.0,0.7357451996978122,Link Measure,1.0,1.0,1.0
all_link_std,1.0,0.17913705155326717,Link Measure,1.0,1.0,1.0
non_self_proportion,0.9986495611073599,0.996636879023734,Link Measure,1.0,1.0,1.0
non_self_mean,1.0,0.7339758913618858,Link Measure,1.0,1.0,1.0
non_self_std,1.0,0.14476458582608573,Link Measure,1.0,1.0,1.0
self_loops_proportion,0.0013504388926401081,0.003363120976265975,Link Measure,1.0,1.0,1.0
self_loops_mean,0.6140350877192983,1.0,Link Measure,1.0,1.0,1.0
self_loops_std,0.0,1.0,Link Measure,1.0,1.0,1.0
degree assortativity,0.169388,0.098402,Global Network Measure,1.0,1.0,1.0
transitivity,0.121447,0.009453,Global Network Measure,1.0,1.0,1.0
local clustering coefficient,0.094716,0.031602,Global Network Measure,1.0,1.0,1.0
reciprocity,0.001957,0.004752,Global Network Measure,1.0,1.0,1.0
density,0.000816,0.000102,Global Network Measure,1.0,1.0,1.0
resolution,0.933333,0.825,Global Network Measure,1.0,1.0,1.0
modularity,0.628971,0.947422,Global Network Measure,1.0,1.0,1.0
003_AUMC_density,0.1638944338786477,0.1568112185510705,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
012_AUMC_density,0.000159894398482043,9.305173103193794e-7,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
102_AUMC_density,7.057414577618219e-7,1.8605678811971568e-8,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021D_AUMC_density,4.621040910293706e-6,9.631131334652545e-11,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021U_AUMC_density,4.817347834551686e-8,2.3151758015991688e-11,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021C_AUMC_density,1.37896581764042e-7,6.01945708415784e-11,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111D_AUMC_density,0.0,1.8521406412793355e-12,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111U_AUMC_density,2.4086739172758434e-9,8.334632885757009e-12,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030T_AUMC_density,1.2043369586379215e-8,8.334632885757009e-12,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030C_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
201_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120D_AUMC_density,0.0,9.260703206396677e-13,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120U_AUMC_density,6.021684793189609e-10,9.260703206396677e-13,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120C_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
210_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
300_AUMC_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
003_peak_tau,1.207897070815434,1.1978600582696364,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
012_peak_tau,1.207897070815434,1.1978600582696364,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
102_peak_tau,1.207897070815434,1.1978600582696364,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021D_peak_tau,1.207897070815434,1.1978600582696364,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021U_peak_tau,1.207897070815434,1.1978600582696364,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021C_peak_tau,1.207897070815434,1.1978600582696364,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111D_peak_tau,1.207897070815434,1.1978600582696364,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111U_peak_tau,1.207897070815434,1.1978600582696364,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030T_peak_tau,1.207897070815434,1.1978600582696364,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030C_peak_tau,1.207897070815434,1.1978600582696364,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
201_peak_tau,1.207897070815434,1.1978600582696364,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120D_peak_tau,1.207897070815434,1.1978600582696364,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120U_peak_tau,1.207897070815434,1.1978600582696364,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120C_peak_tau,1.207897070815434,1.1978600582696364,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
210_peak_tau,1.207897070815434,1.1978600582696364,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
300_peak_tau,1.207897070815434,1.1978600582696364,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
003_peak_density,0.9989916954155019,0.9999939461137921,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
012_peak_density,0.000974610134382533,5.933961139205215e-6,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
102_peak_density,4.301731539806383e-6,1.1864945854782532e-7,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021D_peak_density,2.816679849528514e-5,6.141826533758317e-10,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021U_peak_density,2.9363355220521383e-7,1.4764006090765182e-10,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
021C_peak_density,8.405260431874246e-7,3.8386415835989475e-10,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111D_peak_density,0.0,1.1811204872612147e-11,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
111U_peak_density,1.4681677610260693e-8,5.315042192675466e-11,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030T_peak_density,7.340838805130346e-8,5.315042192675466e-11,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
030C_peak_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
201_peak_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120D_peak_density,0.0,5.9056024363060734e-12,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120U_peak_density,3.670419402565173e-9,5.9056024363060734e-12,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
120C_peak_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
210_peak_density,0.0,0.0,Triad Census,0.020833333333333332,0.020833333333333332,0.020833333333333332
